Time,x Acceleration,y Acceleration,z Velocity
1609464341.994167,-4.93,0.45,0.02
1609464342.2309172,-5.05,0.38,0.02
1609464342.470316,-5.05,0.37,0.01
1609464342.708593,-4.93,0.23,-0.01
1609464342.9446049,-4.89,0.23,0.01
1609464343.181951,-5.01,0.34,0.02
1609464343.410959,-4.98,0.30,0.02
1609464344.7627578,-5.00,0.39,0.00
1609464344.986186,-5.23,0.05,0.15
1609464345.297941,-4.49,1.01,1.58
1609464345.552525,-2.45,-2.49,-2.75
1609464345.7989812,-19.27,4.09,-3.16
1609464346.035007,-5.24,0.34,0.07
1609464346.264971,-5.09,0.18,0.30
1609464346.502914,-5.41,0.93,1.25
1609464346.736107,-15.85,-10.94,-0.01
1609464346.966779,-9.90,-3.90,-4.33
1609464347.522078,-19.76,-34.81,2.67
1609464347.7454028,-5.03,0.37,0.38
1609464347.967493,-7.02,-9.04,4.37
1609464348.214304,-9.13,-8.61,-4.37
1609464348.485159,-7.31,8.81,-0.06
1609464348.724118,-5.11,-0.23,0.11
1609464348.9542909,-4.89,0.13,0.10
1609464349.193095,-5.41,-1.78,4.37
1609464349.4172401,-8.97,-7.59,-3.63
1609464349.642766,-17.67,7.09,-2.77
1609464349.8677802,-5.54,-0.20,0.09
1609464350.097049,-4.81,0.05,0.15
1609464350.3205929,-4.73,0.56,0.39
1609464350.545187,-20.78,-1.62,2.03
1609464350.77511,-10.10,-10.07,-4.37
1609464351.0082529,-7.32,0.65,2.13
1609464351.247618,-4.97,-0.78,0.22
1609464351.480148,-5.52,-0.53,0.09
1609464351.7130182,-4.30,-0.93,2.91
1609464351.934706,-4.35,-4.70,-2.39
1609464352.452765,-19.91,-5.62,-4.04
1609464353.37234,-5.40,0.32,0.24
1609464353.974163,-20.34,1.13,1.46
1609464354.601247,-4.75,1.16,1.04
1609464355.2112849,-14.31,5.00,2.69
1609464356.036816,-15.50,-0.34,-2.94
1609464356.548396,-6.68,1.09,0.45
1609464357.532483,-8.43,-9.84,4.37
1609464358.2699788,-4.99,0.34,0.09
1609464358.596991,-10.72,-5.57,-4.20
1609464358.819707,-14.61,-3.47,1.26
1609464359.196055,-4.98,-0.61,0.23
1609464359.809246,-5.06,0.62,1.17
1609464360.6106539,-21.42,-0.55,-1.30
1609464360.972405,-5.49,-6.11,4.37
1609464361.219915,-10.97,-8.66,-4.28
1609464361.7559092,-2.37,3.73,1.90
1609464362.1936471,-4.21,0.15,3.35
1609464362.429787,-5.27,-3.88,-1.90
1609464362.8765619,-25.52,-2.37,-3.09
1609464363.497602,-5.08,-0.10,0.11
1609464364.417872,-1.43,-1.24,-2.02
1609464364.943587,-16.94,-0.03,2.03
1609464365.1686149,-9.46,-5.51,-4.37
1609464365.651984,-1.33,-4.98,1.98
1609464366.453561,-4.97,0.50,-0.00
1609464367.096844,-5.85,-2.38,0.21
1609464367.613406,-5.15,0.36,2.05
1609464368.099561,-22.91,3.95,-2.66
1609464368.711919,-5.20,0.57,0.20
1609464370.250638,-10.96,-9.98,-4.34
1609464373.851028,-9.53,0.43,-0.33
1609464376.705518,-2.31,1.19,-1.79
1609464376.968928,-15.14,7.76,-3.82
1609464377.626702,-4.04,-1.11,0.34
1609464378.237717,-13.77,-1.98,4.37
1609464378.5482209,-4.68,-0.88,-0.01
1609464378.780532,-4.97,-0.24,0.18
1609464380.390363,-4.10,-0.76,3.00
1609464381.0869608,-5.77,1.60,-4.37
1609464383.231715,-4.70,-0.14,0.68
1609464384.106224,-5.15,0.12,0.16
1609464384.38322,-12.67,-4.53,4.37
1609464384.620237,-7.96,6.59,-4.37
1609464388.018434,-2.76,-15.81,2.95
1609464388.292227,-13.80,1.60,4.37
1609464388.535895,-7.59,5.26,-4.31
1609464388.776354,-5.04,-9.38,1.28
1609464389.3027232,-5.14,0.19,0.07
1609464389.5416708,-4.75,1.21,2.04
1609464389.777691,-0.21,-0.79,-2.95
1609464390.218816,-11.64,9.59,-3.08
1609464390.8319879,-4.73,0.19,0.11
1609464391.28146,2.92,-0.16,-1.45
1609464391.76066,-6.51,0.99,0.73
1609464392.371766,-4.59,-0.21,0.24
1609464392.6187131,-16.19,9.79,-4.25
1609464392.855791,-7.96,-4.70,0.67
1609464393.416086,-4.74,-0.43,0.15
1609464393.8172958,-6.73,4.19,-4.37
1609464394.0456161,-13.86,5.73,-1.27
1609464397.192283,-5.46,0.73,0.14
1609464397.459219,-4.47,0.86,0.68
1609464397.686341,-18.37,-4.28,1.14
1609464397.918805,-7.65,7.70,-4.15
1609464398.1566389,-12.30,-5.88,4.20
1609464398.387991,-5.75,0.88,0.35
1609464398.6145751,-5.42,2.18,0.18
1609464398.8366349,-9.96,-4.10,2.47
1609464399.069324,-10.57,-10.32,-4.37
1609464399.304941,-14.42,-0.43,-2.28
1609464399.53924,-10.32,-3.79,1.01
1609464399.7646542,-4.80,-1.26,0.20
1609464399.994241,-5.10,0.41,0.09
1609464400.224066,-7.82,-2.12,4.37
1609464400.450541,-9.40,-11.05,-4.37
1609464400.6831942,-18.57,-1.68,-3.42
1609464400.9201221,-5.79,-1.63,0.55
1609464402.20962,-4.88,-0.41,0.11
1609464402.440455,-4.72,-0.36,0.20
1609464402.680187,-4.04,-1.20,0.20
1609464402.935345,-9.83,-3.05,4.37
1609464403.1578891,-8.22,-8.88,-4.14
1609464403.382464,-19.12,-1.44,-3.13
1609464403.603146,-6.27,-0.20,0.36
1609464403.851687,-4.85,-0.98,0.11
1609464404.0869272,-5.04,1.05,0.73
1609464404.322674,-3.06,-1.81,-1.78
1609464404.589686,-10.28,-3.78,-3.95
1609464404.854489,-16.70,1.83,2.06
1609464405.080138,-5.14,-0.77,0.24
1609464406.51601,-4.65,-0.23,0.07
1609464407.830676,-4.53,-0.15,3.23
1609464408.0512278,-3.78,0.55,3.44
1609464408.278682,-4.84,-1.74,-2.31
1609464408.526647,-10.44,-1.61,-3.00
1609464408.776665,-4.07,1.02,2.39
1609464409.014463,-5.13,-0.67,0.14
1609464409.258482,-5.15,0.18,-0.01
1609464409.4905128,-4.69,-0.29,4.18
1609464409.732495,-4.27,-5.63,-3.75
1609464409.964992,-20.98,2.24,-2.67
1609464410.19948,-4.63,-0.75,0.09
1609464410.425715,-5.20,0.00,0.11
1609464410.655107,-4.66,1.49,0.89
1609464410.8855958,-3.15,-4.36,-1.41
1609464411.120658,-11.43,-2.84,-3.89
1609464411.357418,-19.60,-4.51,1.42
1609464411.581402,-5.04,-0.09,0.16
1609464411.807174,-5.24,0.65,0.22
1609464412.082922,-13.94,-6.45,4.37
1609464412.308817,-8.77,-3.57,-4.37
1609464412.545672,-9.88,-11.88,2.56
1609464412.7727602,-5.37,-0.23,0.17
1609464413.004014,-4.96,0.25,0.07
1609464413.2805812,-4.52,0.33,2.67
1609464413.531439,-6.12,-9.30,-3.57
1609464413.752813,-24.40,-1.09,-1.60
1609464414.0090408,-4.89,-1.54,0.25
1609464414.2425559,-5.11,-0.28,0.05
1609464414.470263,-4.38,1.57,1.21
1609464414.696494,-1.89,-1.03,-1.48
1609464414.9204009,-11.82,-4.00,-4.37
1609464415.142588,-23.55,11.55,2.41
1609464415.36745,-5.12,0.42,0.12
1609464415.614379,-5.09,0.38,0.14
1609464415.8485591,-12.39,-3.63,4.37
1609464416.070834,-8.78,-5.50,-3.96
1609464416.301418,-21.65,1.13,-1.58
1609464416.534976,-5.29,-0.28,-0.00
1609464416.754494,-5.18,0.66,0.12
1609464416.9976408,-4.62,1.23,0.74
1609464417.217482,-6.22,-4.52,-2.34
1609464417.4478238,-11.56,-4.49,-4.20
1609464417.6763809,0.25,24.19,2.87
1609464419.099518,-4.94,-0.43,0.15
1609464419.330441,-5.01,-0.56,0.15
1609464419.5674722,-4.57,-0.11,0.43
1609464419.795122,-11.94,-3.67,3.60
1609464420.0296,-10.34,-8.93,-4.37
1609464420.32231,-3.97,0.33,2.29
1609464420.936085,-5.08,-0.55,0.15
1609464421.1665092,-11.48,-3.04,1.21
1609464421.406875,-8.98,-4.29,-3.27
1609464421.648854,-14.24,6.11,0.72
1609464421.921835,-4.91,-0.50,0.19
1609464422.158665,-4.97,0.29,0.03
1609464422.389605,-4.45,-0.10,2.68
1609464422.6175969,-5.09,-1.63,-1.07
1609464423.1044328,-14.42,-3.75,-4.01
1609464423.35662,-5.03,-0.46,0.21
1609464423.619211,-5.03,0.33,0.50
1609464423.846667,-5.86,-4.39,-1.58
1609464424.1049962,-10.34,-5.01,-4.13
1609464424.3298602,-9.90,-2.87,1.07
1609464424.554851,-4.59,-0.99,0.21
1609464424.7865758,-4.91,-0.23,0.17
1609464425.0094972,-6.43,-1.16,4.37
1609464425.245648,-5.76,-8.89,-3.29
1609464425.855325,-5.54,-0.34,0.38
1609464426.093654,-4.81,0.21,0.06
1609464426.3244932,-4.90,-0.25,3.66
1609464426.553673,-8.21,-5.96,-2.81
1609464426.786148,-16.51,-0.22,-3.10
1609464427.0182452,-7.46,1.67,0.90
1609464427.2448928,-5.25,0.59,0.19
1609464427.474145,-5.33,0.89,0.07
1609464427.706314,-5.13,0.52,0.60
1609464427.959029,-7.53,1.82,1.38
1609464428.211736,-8.28,3.36,0.90
1609464428.437099,-9.37,1.24,-0.47
1609464428.700237,-6.40,-3.56,-2.25
1609464428.9259331,-8.92,-4.71,-1.60
1609464429.155542,-9.73,0.25,1.20
1609464429.3959942,-4.89,-0.95,0.17
1609464429.643899,-5.23,-0.70,0.06
1609464429.862317,-5.22,0.64,0.64
1609464430.104086,-8.66,-8.15,4.27
1609464430.329761,-10.35,-8.34,-4.16
1609464430.5568871,-16.83,-1.48,-2.33
1609464430.796679,-4.62,-0.88,0.10
1609464431.031286,-5.03,0.47,0.05
1609464431.273505,-4.60,1.70,0.67
1609464431.5021188,-4.95,-6.32,-1.00
1609464431.729279,-9.88,-7.18,-4.37
1609464431.953248,-10.42,3.61,3.95
1609464432.180375,-4.98,-0.33,0.10
1609464432.429535,-4.95,0.16,0.01
1609464432.676717,-4.41,1.40,2.63
1609464432.900257,-5.99,-3.71,-1.61
1609464433.1257641,-11.54,-5.14,-3.49
1609464433.3450491,-8.71,-0.27,0.81
1609464433.571212,-5.16,-1.00,0.11
1609464433.797334,-4.74,-1.64,0.17
1609464434.0236669,-4.24,-1.77,3.82
1609464434.254832,-4.83,-7.24,-2.44
1609464434.48739,-17.65,-3.60,-3.82
1609464434.716937,-4.41,-1.20,0.10
1609464434.942438,-4.96,-0.58,0.12
1609464435.1684601,-4.89,-0.51,0.34
1609464435.39136,-12.79,-7.30,4.37
1609464435.620533,-9.00,-8.52,-4.37
1609464435.864992,-21.91,0.99,-1.62
1609464436.1069381,-4.65,-1.18,0.16
1609464436.338434,-5.17,0.16,0.07
1609464436.574246,-4.47,-0.05,0.68
1609464437.222844,-16.53,-2.32,3.16
1609464437.447027,-4.63,-1.29,0.19
1609464437.6866639,-5.10,0.04,0.11
1609464437.919662,-4.78,1.97,0.65
1609464438.152556,-12.70,-2.97,0.22
1609464438.383305,-10.96,-6.43,-4.13
1609464438.612442,-9.00,6.00,0.51
1609464438.862381,-5.18,-0.07,0.02
1609464439.093386,-4.82,0.34,0.04
1609464439.346377,-5.02,1.17,0.17
1609464439.581016,-6.21,1.75,0.85
1609464439.804785,-6.27,1.93,-2.96
1609464440.0414138,-7.43,-3.28,-0.08
1609464440.291244,-4.89,0.01,0.11
1609464440.512529,-4.97,0.00,0.08
1609464440.7398112,-4.75,0.68,0.68
1609464440.978945,-13.23,-1.33,4.37
1609464441.218157,-7.12,6.17,-4.37
1609464441.4671822,-8.72,1.65,0.69
1609464441.709206,-5.06,0.15,0.11
1609464441.943834,-5.11,-0.43,0.10
1609464442.172818,-4.99,0.54,1.21
1609464442.400269,-14.98,-7.38,2.16
1609464442.6404061,-8.92,5.41,-4.37
1609464442.866066,-0.26,-11.42,0.95
1609464443.095804,-4.85,0.23,0.16
1609464443.3306408,-5.29,-0.01,0.14
1609464443.5624661,-4.19,-0.31,3.19
1609464443.827086,-2.01,-0.21,-3.04
1609464444.0587032,-19.51,7.80,-3.48
1609464444.285095,-5.24,-0.42,0.11
1609464444.50584,-4.86,-0.12,0.10
1609464444.735919,-5.02,0.56,1.01
1609464444.963381,-8.60,-6.49,0.74
1609464445.1912398,-10.30,5.64,-4.37
1609464445.467277,-10.24,2.53,1.24
1609464445.693353,-4.92,-0.09,0.07
1609464445.930464,-4.83,-0.59,0.22
1609464446.167267,-9.35,-2.46,4.37
1609464446.401864,-5.20,6.20,-3.72
1609464446.6344588,-13.01,3.22,-1.25
1609464446.860554,-5.36,-0.09,0.08
1609464447.09498,-4.86,-0.36,0.04
1609464447.328044,-4.75,1.35,1.54
1609464447.565969,0.40,-4.49,-1.30
1609464447.8022568,-16.07,8.17,-3.93
1609464448.0312152,-6.41,2.07,0.60
1609464448.271921,-4.98,-0.60,0.18
1609464448.49898,-5.36,0.00,0.32
1609464448.719758,-10.25,0.51,4.37
1609464448.947747,-5.32,5.25,-3.43
1609464449.1824589,-16.43,8.97,-2.42
1609464449.415015,-5.08,-0.13,0.13
1609464449.6958878,-5.02,-0.29,0.12
1609464449.930293,-4.88,0.75,1.26
1609464450.1818838,1.50,-3.40,-1.78
1609464453.187635,-15.09,8.06,-4.17
1609464453.4262102,-5.16,0.16,0.02
1609464453.663483,-4.84,-0.28,0.20
1609464453.887129,-4.49,1.13,1.76
1609464454.123927,0.77,-1.68,-1.80
1609464454.3694432,-15.60,8.22,-3.86
1609464454.595867,-6.54,2.21,0.43
1609464454.834016,-4.88,-0.14,0.06
1609464455.0629,-4.87,-0.25,0.32
1609464455.295187,-9.59,2.36,4.37
1609464455.5328178,-5.11,3.53,-3.49
1609464455.765602,-10.63,-0.41,0.50
1609464456.012177,-5.33,-0.17,0.11
1609464456.257967,-4.76,-0.41,0.16
1609464456.505019,-4.73,1.04,1.08
1609464456.738322,-5.74,-6.02,-1.21
1609464456.9760928,-12.13,4.95,-4.21
1609464457.510368,-6.07,8.13,1.60
1609464457.737654,-4.74,-0.32,0.23
1609464457.9739258,-9.62,1.84,4.37
1609464458.215014,-4.64,2.53,-3.76
1609464458.437321,-11.63,1.84,-1.41
1609464458.680686,-5.98,0.26,0.22
1609464458.923728,-4.64,-0.61,0.07
1609464459.178657,-4.93,-0.23,0.49
1609464459.404105,-6.64,-2.10,4.17
1609464459.656157,-9.06,5.11,-4.37
1609464459.889618,-16.37,2.87,2.57
1609464460.13287,-4.96,-0.23,0.19
1609464460.37407,-4.83,0.07,0.24
1609464460.60596,-9.35,-3.82,4.37
1609464460.90144,-7.63,5.24,-4.35
1609464462.414547,-9.08,-14.76,0.66
1609464462.638526,-5.00,-0.49,0.10
1609464462.8804638,-4.82,-0.19,0.13
1609464463.111309,-4.66,0.52,1.81
1609464463.3458161,0.89,1.14,-1.68
1609464463.587032,-13.90,6.08,-4.37
1609464463.824064,-5.64,-0.36,0.53
1609464464.065613,-4.48,-0.70,0.08
1609464464.293122,-4.78,-0.83,0.29
1609464464.8813,-13.32,-2.24,4.37
1609464465.1382542,-4.97,0.68,0.46
1609464465.376933,-5.18,-0.23,0.18
1609464465.638121,-5.29,0.57,0.57
1609464465.88358,-16.15,-6.66,1.63
1609464466.1347342,-12.55,5.31,-4.09
1609464466.373751,-11.90,-2.53,1.80
1609464466.621686,-4.95,-0.78,-0.06
1609464466.918647,-4.79,-1.00,0.24
1609464467.140534,-14.73,0.74,4.37
1609464467.3860989,-6.88,5.42,-4.36
1609464468.660063,-7.37,-9.42,1.43
1609464468.908701,-18.70,11.27,-3.31
1609464469.132672,-4.74,-0.45,0.08
1609464469.374468,-4.77,-0.05,0.10
1609464469.616632,-4.76,0.19,0.83
1609464469.843601,-11.55,-1.35,0.89
1609464470.070698,-13.69,9.54,-4.28
1609464470.3188381,-8.78,0.49,0.61
1609464470.560692,-4.86,-0.00,0.12
1609464470.789267,-4.72,-0.13,0.23
1609464471.0141408,-4.41,0.74,2.79
1609464471.237181,-0.25,0.25,-1.72
1609464471.460385,-11.44,8.77,-3.06
1609464471.6844668,-11.45,7.13,0.78
1609464471.933236,-4.81,-0.02,0.10
1609464472.162679,-4.98,0.24,0.13
1609464472.393584,-4.22,0.86,3.52
1609464472.627485,-3.74,-0.59,-2.30
1609464472.8630579,-12.67,9.79,-3.11
1609464473.117256,-6.56,-0.25,0.47
1609464473.367914,-4.80,-0.22,0.04
1609464473.588619,-5.06,0.25,0.22
1609464473.833538,-4.50,1.30,1.80
1609464474.054944,0.09,1.76,-1.74
1609464475.3169222,-9.90,5.51,-2.73
1609464475.5515158,-0.63,2.93,-2.12
1609464475.79796,-12.32,10.99,-2.99
1609464476.033661,-5.74,-0.27,0.26
1609464476.265436,-4.79,0.07,0.06
1609464476.496532,-4.71,0.01,0.17
1609464476.749266,-4.21,0.27,2.70
1609464476.98736,-4.93,1.08,-2.46
1609464477.228204,-11.71,4.52,-3.74
1609464477.467186,-14.45,-4.61,1.67
1609464477.692357,-5.08,0.25,0.16
1609464477.930054,-5.16,0.40,0.06
1609464478.1528718,-5.33,1.26,0.11
1609464478.393735,-5.32,0.72,-0.00
1609464478.629508,-5.19,0.63,0.05
1609464478.877289,-5.35,0.65,0.09
1609464479.111905,-5.51,0.33,0.12
1609464479.3568661,-5.78,0.29,0.19
1609464479.58065,-6.06,0.16,0.20
